,year,factor,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
17,2013-01-01,SC,,,,,,1.5501564729823887,,,,
18,2014-01-01,SC,,,,,,1.6367559807291614,,,,
19,2015-01-01,SC,,,,,,1.5341189042257992,,,,
20,2016-01-01,SC,,,,,,1.7718277121228023,,,,
21,2017-01-01,SC,,,,,,2.029448288216255,,,,
22,2018-01-01,SC,,,,,,1.8305763539233089,,,,
23,2019-01-01,SC,,,,,,2.0240681796195963,,,,
24,2008-01-01,RS,0.6575181730036591,0.6314679461508714,0.6571887788136992,0.6716507771888072,0.6603630074335392,0.6886989926847864,0.6978501410320679,0.6172671850367601,0.5641367498201397,0.6715676952489632
25,2009-01-01,RS,0.888832771617173,0.8719130377598588,0.9357449714093332,0.8970293788195558,0.9100840548756235,0.903536408978801,0.9109415740240868,0.8280280219137289,0.7224588016691882,0.9130871839012339
26,2010-01-01,RS,1.1749046849247473,1.0710207624741301,1.1459085609411424,1.1126359084266666,1.1392541658760627,1.074301590960316,1.0649572550817101,1.0108154140297017,0.8577708594390613,1.0794746081970472
27,2011-01-01,RS,1.210513487457848,0.9907022366535486,1.1444769125758165,1.0409697071595754,1.0729099037433971,1.0497938019248765,1.0199524839040854,0.952810467874606,0.8093740054669574,1.0432080402439006
28,2012-01-01,RS,1.3871654193402947,1.1314105400999608,1.2748166601439948,1.1848646660423312,1.2636135866322147,1.2076795923510966,1.2167166548657962,1.0526085542136159,0.9365591734403484,1.168997074642556
29,2013-01-01,RS,1.7933297679186235,1.5345155112936213,1.6650888585250958,1.5566622802715235,1.6202393239198936,1.5694998811511958,1.589956903978675,1.3271913710428842,1.2096854851505063,1.4906201076757095
30,2014-01-01,RS,1.9909213740219875,1.5749329834271468,1.6621715728569946,1.6721536503058683,1.7520563543626408,1.6295312725050994,1.7221529251125582,1.3865687640536266,1.2700894303399126,1.5681170614389446
31,2015-01-01,RS,1.8108880580876898,1.5179897181823174,1.5934153014888168,1.5717082739309975,1.6615807254046202,1.5097904155393733,1.7801642194032155,1.220284152449277,1.1558456452072647,1.416213138816591
32,2016-01-01,RS,1.9665094403482546,1.7965473427768537,1.811459550158515,1.8059633153058392,1.9286512594731355,1.8067614702460573,2.0166849268751226,1.4181745281684721,1.3274704354169882,1.683954182143925
33,2017-01-01,RS,2.1616747103108533,2.0753025635022793,1.985727683998598,1.979672602997721,2.3150512012388016,2.0756738382663764,2.433047540224672,1.6887048501900481,1.4877509634031492,1.9182445302990145
34,2018-01-01,RS,1.9566894414403937,1.9356137543572114,1.8239973644044805,1.7935840106903378,2.092307981240294,1.9225666434809083,2.139161729073557,1.4810831489607938,1.2648925097349462,1.7671499606529546
35,2019-01-01,RS,2.0998187433878783,2.1425470348822966,1.9936653784430913,1.929860152719598,2.3123076558223934,2.118011070415823,2.342747647911221,1.7067147627056873,1.447246165566892,1.9616914577968976
36,2008-01-01,LE,0.7063420082298095,0.7609401429440605,0.6866491790047047,0.5870444133868196,0.6511323818946739,0.660088436599781,0.6086889845721173,0.6065536828576805,0.5979588187595879,0.6756788374136863
37,2009-01-01,LE,0.9180046264365873,0.9558899378862488,0.8771182284798414,0.814470658205856,0.8694661901292914,0.8968247594472822,0.9099288673352596,0.859702299105542,0.7911839828732128,0.9190264513084597
38,2010-01-01,LE,1.07206932612934,1.0932618459879517,1.0396182361379331,1.0038601679553716,1.0334692458067471,1.0963980038520424,1.1566418251720234,1.0789424500813514,0.987998974880219,1.184874365438634
39,2011-01-01,LE,1.0515094101967384,1.0852810780403965,1.0077912397574764,0.9359105755795863,0.9832445153195187,1.0312821070104503,1.154564283495242,1.0065791665207418,0.967917496281092,1.1208277934947375
40,2012-01-01,LE,1.2337689623608428,1.2284681176896517,1.1519434469090057,1.0720208042709234,1.0572398792571909,1.195711520185509,1.2875977287188645,1.1272082383050808,1.1571253988063266,1.3210286298478053
41,2013-01-01,LE,1.5728736415967186,1.5980351037623148,1.477718861191819,1.3237644085531635,1.411160277455834,1.5301845224085586,1.7011557061912475,1.4382891002659466,1.4868335004393611,1.828478883336113
42,2014-01-01,LE,1.5635834896825667,1.6895573355696674,1.5336955705994664,1.4684455777228336,1.4438302435903627,1.6774836237408701,1.7947306578390132,1.5487725849977445,1.537826916835938,1.994405088976685
43,2015-01-01,LE,1.4713044915658904,1.6373470349444124,1.3969808204446799,1.3977575631431431,1.32204124913206,1.604199564537645,1.7355187457581411,1.439439622657577,1.3838705141119076,1.8600082400958164
44,2016-01-01,LE,,,,,,1.8527672375287918,,,,
45,2017-01-01,LE,,,,,,2.12215627565789,,,,
46,2018-01-01,LE,,,,,,1.9141995980413635,,,,
47,2019-01-01,LE,,,,,,2.1165303963051545,,,,
