,year,factor,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
0,2008-01-01,GL,0.7058581419487102,0.7139705300808459,0.2839556870882626,0.7079279438818782,0.724403350203439,0.6538646721562291,0.24971438981056016,0.7171232888191765,0.8425562453686776,0.4766940599463244
1,2009-01-01,GL,0.9107545089244673,0.4426180432661892,0.3388588753402202,0.9407200577454906,1.136221565653264,0.9006525986570729,0.3495727027479819,0.5645140863267926,0.938614736471743,0.7454389811388151
2,2010-01-01,GL,1.1349006120270262,0.5573009857613416,0.32514360507855244,1.1316948235897801,1.5099097985161667,1.0542721835769793,0.45085314197247034,0.7923230045364817,1.0747253043780312,0.5921926364055078
3,2011-01-01,GL,1.176062689129211,0.555914570900139,0.3282972933081724,1.0506380380176763,1.4489553366631243,0.932671152064711,0.4618670475014701,0.7576980182624005,0.9663740158801513,0.5800052777554131
4,2012-01-01,GL,1.3282322255965935,0.6606944053867764,0.3743915357477389,1.1964840605380997,1.640727335476785,1.173140635235819,0.5005028700492983,0.9052518708449895,1.1809238369069306,0.5753628314611462
5,2013-01-01,GL,1.7205805069421793,0.8751175454725855,0.5129425915787267,1.3403341455215019,2.2266228724319914,1.6055736541629761,0.6501986319366089,1.168785759542692,1.7959155196929641,1.0503545258924427
6,2014-01-01,GL,1.8775650489897149,0.9884825186395179,0.5460745260530151,1.626614896458564,2.186655421335703,1.7212540490772184,0.7771238661506652,1.1975072142660077,2.052108727696828,1.51911241233394
7,2015-01-01,GL,1.931781882752847,1.1166863412417958,0.4728111367675109,1.6425743317718888,2.062183177904708,1.632715858174509,0.7672854787015558,1.2320629612745901,1.9088248457745032,1.4528710197979282
8,2016-01-01,GL,2.1947018187724945,1.387892416072215,0.5317166977069532,1.8657687452594727,2.376058564102977,2.0406765923671424,0.9145485930994611,1.4700717045553435,2.207332409402075,1.450553429894421
9,2017-01-01,GL,2.624025218427771,1.760102344220068,0.6100459507160567,2.3103687944637357,2.805806073327152,1.5776743087005354,1.0939683347685907,1.9472769112244663,2.517530314020636,1.6949945681166492
10,2018-01-01,GL,2.6077402319131737,1.7897512518238858,0.5909804635527524,2.070391916574189,2.672765876282368,1.562475543167061,1.0447973662166534,1.9328064935872402,2.601670520528136,1.7290591213928872
11,2019-01-01,GL,3.349456796210078,2.148419554231253,0.6955112422081747,2.546705276262735,3.4121350159296813,1.837750071773886,1.2373602308043554,2.373083569766087,3.1537678422646755,1.9923684241777901
12,2008-01-01,SC,,,,,,0.4882023629049519,,,,
13,2009-01-01,SC,,,,,,0.5541418410355693,,,,
14,2010-01-01,SC,,,,,,0.5965563306118418,,,,
15,2011-01-01,SC,,,,,,0.5653014218604753,,,,
16,2012-01-01,SC,,,,,,0.6364362055257882,,,,
17,2013-01-01,SC,,,,,,0.8886519580264522,,,,
18,2014-01-01,SC,,,,,,1.1517768467356386,,,,
19,2015-01-01,SC,,,,,,1.1372402301168183,,,,
20,2016-01-01,SC,,,,,,1.0207654586010502,,,,
21,2017-01-01,SC,,,,,,1.16198719521006,,,,
22,2018-01-01,SC,,,,,,1.1349973660953203,,,,
23,2019-01-01,SC,,,,,,1.3626366079160261,,,,
24,2008-01-01,RS,0.7606839270787931,0.47173705804528754,0.7143155046533876,0.3704428810720365,0.6728120107749018,0.7620925236471431,0.6512320730539989,0.7032429878337867,0.654362587945264,0.3716272851639677
25,2009-01-01,RS,1.1074093534163627,0.6809461030962088,0.8324508383155362,0.3836516895001339,0.8331938166286009,0.9311121524115531,0.5283038742620718,0.9165011430403329,0.8618566630349331,0.4888253734239354
26,2010-01-01,RS,1.416765955453157,0.8376391463906971,1.0829651725476697,0.32097705663746984,1.2050446982464345,0.8772326199215751,0.5274823295680577,1.1062384571967858,1.0843929230766651,0.4853914977825134
27,2011-01-01,RS,1.5156859508576193,0.8453252552475908,0.9413215607687075,0.316564625961643,1.1682621082976081,0.8784634447841847,0.5326124306680067,0.9742197241400122,1.0586925903724942,0.4703738063970938
28,2012-01-01,RS,1.3901991133304699,1.0054937016119847,1.138343325913721,0.3316988440198185,1.3818910917288847,1.036392131473412,0.6073999825504238,1.108872087246237,1.2282889582599203,0.5699705450532724
29,2013-01-01,RS,1.7638519004665423,1.3787900768522785,1.3683970291049894,0.4551825834086115,1.8363780800716876,1.1653232521367807,0.8355382846589854,1.4250254522416888,1.9211493900865917,1.1012335480841642
30,2014-01-01,RS,1.9357641437702053,1.4554075262963655,1.4084155702336105,0.48367982606441906,2.351003531802067,1.7049427379854254,0.8998102538637454,1.5511539326483417,1.9332966022046627,1.2459756357383145
31,2015-01-01,RS,1.8390503438422718,1.4935432218777445,1.468431374368317,0.518588367664803,2.3048866282261793,1.5670408650939538,0.899390231235612,1.4516617606690727,2.043574290274643,1.1637731358651457
32,2016-01-01,RS,1.9124200307853085,1.8506245601379525,1.7328215764377592,0.6078557072037778,0.5355312674982016,1.564333163073044,1.0468882582988053,1.6329832811763472,2.399160970746276,1.3626868694270375
33,2017-01-01,RS,2.284571792639259,2.194527131431269,1.9529182357624169,0.6783529095258086,0.648742909811526,1.907091260812104,1.331202945998236,1.9688882746480068,1.8999005687819972,1.6220249564242104
34,2018-01-01,RS,2.238892305145926,2.198904532999502,1.9931668982294295,0.6514993795086041,0.6298695973869923,1.930379058852325,1.3376278836237296,1.7759483069111133,1.6896561252094453,1.634897228212553
35,2019-01-01,RS,2.6458330473794045,2.666188835754923,2.3753290856072833,0.7343143859553737,0.749425388694659,2.3571205476763737,1.5948145857245075,2.192774925997979,2.069494483716006,1.961485594752309
