,1,5,H-L
0,0.268,0.853,0.585
1,(0.59),(1.78),(2.39)
0,-0.003,0.777,0.779
1,(-0.01),(1.27),(1.94)
0,0.375,0.924,0.548
1,(1.53),(1.8),(1.87)
0,0.331,0.897,0.566
1,(1.04),(1.34),(1.49)
0,0.173,-5.035,-5.207
1,(0.22),(-0.76),(-0.83)
0,0.365,-6.323,-6.688
1,(0.32),(-0.86),(-0.96)
0,2.918,-1.351,-4.269
1,(1.29),(-0.95),(-1.95)
0,4.084,-1.916,-6.0
1,(1.21),(-1.1),(-1.82)
